dimension,size,heaviest
0,64,0.08263428422843366
0,128,0.060282090613774875
0,256,0.01798679785534507
0,512,0.011197282241988793
0,1024,0.006057305312131778
0,2048,0.004324400667466977
0,4096,0.0023830406968268214
0,8192,0.0010086573886309846
0,16384,0.000674433294306831
0,32768,0.0004070207505779688
2,64,0.2422178842395368
2,128,0.13626982365523402
2,256,0.10321827325348643
2,512,0.0740068036362932
2,1024,0.05383513619633438
2,2048,0.03836441510274911
2,4096,0.02672512738120096
2,8192,0.020664972202636477
2,16384,0.013873502880692477
2,32768,0.010794657956649505
3,64,0.34304831265788416
3,128,0.26823876552533854
3,256,0.23342317517808733
3,512,0.19634111970436444
3,1024,0.1341144613067899
3,2048,0.10411289937675687
3,4096,0.11356576450322302
3,8192,0.07701811270712705
3,16384,0.06127579813470367
3,32768,0.05470781530802556
4,64,0.4887502250056941
4,128,0.40886884977185545
4,256,0.33869406710730543
4,512,0.3251430158893426
4,1024,0.2750920138910209
4,2048,0.205401082183361
4,4096,0.2171559062585327
4,8192,0.1383305938299727
4,16384,0.12175740635969831
4,32768,0.10396798875026737
