graph_size,graph_dimension,num_trials,runtime_secs,weight
128,0,5,0,1.271658747261456
256,0,5,0,1.1624574550879423
512,0,5,0,1.2335635066839619
1024,0,5,0,1.2051053102794715
2048,0,5,0,1.2074278411854977
4096,0,5,0,1.2019333109345696
8192,0,5,0,1.2004598219741496
16384,0,5,2,1.2028009232458963
32768,0,5,8,1.1998352495692248
65536,0,5,31,1.2004578716619974
131072,0,5,125,1.2025896100477023
262144,0,5,551,1.2002927743492051
128,2,5,0,7.66254165194611
256,2,5,0,10.501006694682067
512,2,5,0,15.100978004824729
1024,2,5,0,20.95756725314546
2048,2,5,0,29.634341947480777
4096,2,5,0,41.77516600030651
8192,2,5,0,59.02465981817632
16384,2,5,0,83.1857241943462
32768,2,5,2,117.55352569618779
65536,2,5,8,166.15127340871393
131072,2,5,36,234.49992140071154
262144,2,5,370,331.6684266472741
128,3,5,0,17.642816001208967
256,3,5,0,27.00980889773438
512,3,5,0,43.611304442821975
1024,3,5,0,68.11786039587183
2048,3,5,0,107.02573979522822
4096,3,5,0,169.0869600012423
8192,3,5,0,267.1509711162194
16384,3,5,0,421.81052540516566
32768,3,5,3,668.88112751682
65536,3,5,11,1059.2593508729256
131072,3,5,49,1676.765719026056
262144,3,5,400,2657.9088564757185
128,4,5,0,28.329458423373694
256,4,5,0,47.613442329266235
512,4,5,0,78.31667398296665
1024,4,5,0,129.47836683406138
2048,4,5,0,216.48200611999135
4096,4,5,0,361.5366239608292
8192,4,5,0,602.55302289748
16384,4,5,1,1007.8971557957839
32768,4,5,3,1689.6402271350617
65536,4,5,12,2828.95591534668
131072,4,5,55,4739.811890943702
262144,4,5,656,7947.201279847565
