graph_dim,base_cutoff,time_ms
4096,4096,491.865755791
4096,2048,311.849486708
4096,1024,113.19769775
4096,512,79.256534625
4096,256,77.157458208
4096,128,53.593646375
4096,64,46.5225255
4096,32,47.048793459
4096,16,54.881761708
4096,8,80.985387708
4096,4,164.348182459
2048,2048,49.399519291
2048,1024,20.749661166
2048,512,11.992041375
2048,256,10.631737042
2048,128,7.52101675
2048,64,6.605492458
2048,32,6.657158791
2048,16,7.792414917
2048,8,11.582750625
2048,4,23.500290791
1024,1024,6.082680042
1024,512,1.879864125
1024,256,1.566275834
1024,128,1.06921525
1024,64,0.938697375
1024,32,0.94782775
1024,16,1.110567583
1024,8,1.632406541
1024,4,3.303082625
512,512,0.369311375
512,256,0.22487175
512,128,0.151990625
512,64,0.133672333
512,32,0.134514208
512,16,0.157229167
512,8,0.231228083
512,4,0.470223208
256,256,0.028325
256,128,0.022141042
256,64,0.019479375
256,32,0.019043416
256,16,0.022845
256,8,0.033414959
256,4,0.067294125
